#,Owner,Listings,Phone,Email / Web,Location,Listing,Beds,$/night,Listing link (message here),Owner profile,Grade,Notes,Status
1,Lux List,3 listings,,luxlist.com.au / IG @luxlistau,Southbank,Lux List | Luxury PH @ Eureka 87 | 360 Views,3,2659,https://www.airbnb.com.au/rooms/1343806572603293654,https://www.airbnb.com.au/users/profile/1463930301874524971,KEEP,,
,,,,,Melbourne CBD,Designer Wellness Penthouse | Riverfront Terrace,2,1290,https://www.airbnb.com.au/rooms/1620651643061305856,,KEEP,,
,,,,,Southbank,Two-Level | Top Floor Penthouse Melbourne Square,3,444,https://www.airbnb.com.au/rooms/1487273696165929567,,KEEP,,
2,Property Mums,3 listings,1300 776 768,propertymums.com.au,St Kilda,Wattle House - St Kilda,5,744,https://www.airbnb.com.au/rooms/1749688726476293412,https://www.airbnb.com.au/users/profile/1463014722511919481,WEAK,only 0 reviews - unproven,
,,,,,St Kilda,Poolside at Kindrogan - St Kilda,4,600,https://www.airbnb.com.au/rooms/1537088355834091002,,KEEP,,
,,,,,Hampton,Luxury Parkside Hampton Home,4,,https://www.airbnb.com.au/rooms/49568742,,KEEP,,
3,Aaron,3 listings,,,Port Melbourne,Port Melbourne Luxury Home,3,600,https://www.airbnb.com.au/rooms/38677855,https://www.airbnb.com.au/users/profile/1466776043642138120,KEEP,,
,,,,,Port Melbourne,"Large 3 level townhome, sleeps 10, 500m to beach",3,410,https://www.airbnb.com.au/rooms/15574563,,KEEP,,
,,,,,Port Melbourne,Spacious Port Melbourne Home,3,,https://www.airbnb.com.au/rooms/1243780642039732278,,KEEP,,
4,VShine,2 listings,,,Port Melbourne,"Tide & Timber | Villa Port Melb: Parking, 4 levels",4,878,https://www.airbnb.com.au/rooms/1317935066975847688,https://www.airbnb.com.au/users/profile/1470261221130719943,KEEP,,
,,,,,Port Melbourne,Captivating Charm Port Melbourne. Parking.,4,500,https://www.airbnb.com.au/rooms/1315432717580180476,,KEEP,,
